timestamp,signal,last_price,position_qty,position_avg,fees,open_orders,take_profits,stop_loss,bot_version,symbol
2025-09-27T13:42:06.843534,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:42:16.902453,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:45:27.394272+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:45:37.413850+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:45:47.435782+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:45:57.462159+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:46:07.517769+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:46:18.257509+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:46:28.288287+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:48:54.418942+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:49:04.425239+00:00,,,,,,[],[],,v1,ETHUSDT
2025-09-27T13:53:27.835745+00:00,"{'tipo': 'SOPORTE', 'precio': 3857.4, 'volumen': 741.809}",4018.13,0.0,0.0,0.0,[],[],,v1,ETHUSDT
2025-09-27T13:53:37.844712+00:00,"{'tipo': 'SOPORTE', 'precio': 3857.4, 'volumen': 3031.298}",4018.13,0.0,0.0,0.0,"[{""side"": ""BUY"", ""price"": ""4006.08"", ""qty"": ""0.024"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3969.91"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3885.53"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3957.86"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3994.02"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3873.48"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3945.80"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3909.64"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3801.15"", ""qty"": ""0.026"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3897.59"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3921.69"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3813.21"", ""qty"": ""0.026"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3789.10"", ""qty"": ""0.026"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3861.42"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3837.31"", ""qty"": ""0.026"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3981.97"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3933.75"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3849.37"", ""qty"": ""0.025"", ""reduceOnly"": false}, {""side"": ""BUY"", ""price"": ""3825.26"", ""qty"": ""0.026"", ""reduceOnly"": false}]",[],,v1,ETHUSDT
